Column,Title,HTML,Class
neediest-cases.json,Taking Responsibility for Herself and Her Son,Taking_Responsibility_for_Herself_and_Her_Son,?
neediest-cases.json,Wall Street Does Its Share to Help Fellow New Yorkers,Wall_Street_Does_Its_Share_to_Help_Fellow_New_Yorkers,?
neediest-cases.json,  TAKING STEPS TOWARD A LIFE OF STABILITY,__TAKING_STEPS_TOWARD_A_LIFE_OF_STABILITY,?
neediest-cases.json,THE NEEDIEST CASES;Family Members Give to Honor Elders,THE_NEEDIEST_CASES_Family_Members_Give_to_Honor_Elders,?
neediest-cases.json,In a Shelter, and Striving to Help a Child,In_a_Shelter__and_Striving_to_Help_a_Child,?
neediest-cases.json,Beginning a New Life in America, With Mentors by Their Side,Beginning_a_New_Life_in_America__With_Mentors_by_Their_Side,?
neediest-cases.json,A Mother Determined to Keep Two Young Sons in the School Where They Thrive,A_Mother_Determined_to_Keep_Two_Young_Sons_in_the_School_Where_They_Thrive,?
neediest-cases.json,A Woman’s Desire to Work Is Thwarted by a Body That Strains to Keep Up,A_Woman_s_Desire_to_Work_Is_Thwarted_by_a_Body_That_Strains_to_Keep_Up,?
neediest-cases.json,At Camp, a Haven From Troubles,At_Camp__a_Haven_From_Troubles,?
neediest-cases.json,Dancing Through the Ups, Downs and Twists of Life,Dancing_Through_the_Ups__Downs_and_Twists_of_Life,?
neediest-cases.json,Getting Help to Enable Herself to Help Others,Getting_Help_to_Enable_Herself_to_Help_Others,?
neediest-cases.json,In The Abstract,In_The_Abstract,?
neediest-cases.json,For a Lover of Traveling and Languages, Only One Place Can Be Called Home,For_a_Lover_of_Traveling_and_Languages__Only_One_Place_Can_Be_Called_Home,?
neediest-cases.json,For Teenager, ‘What I See in the Mirror Is Not What I Am’,For_Teenager___What_I_See_in_the_Mirror_Is_Not_What_I_Am_,?
neediest-cases.json,After Finding Herself, Hoping to Find Yet Another Home,After_Finding_Herself__Hoping_to_Find_Yet_Another_Home,?
neediest-cases.json,After Husband’s Sudden Death, Widow Seeks New Home and Job,After_Husband_s_Sudden_Death__Widow_Seeks_New_Home_and_Job,?
neediest-cases.json,Fresh Start for a Teenager Who Wants to Be Heard,Fresh_Start_for_a_Teenager_Who_Wants_to_Be_Heard,?
neediest-cases.json,Donors for All Seasons Give Appeal a Jump Start,Donors_for_All_Seasons_Give_Appeal_a_Jump_Start,?
neediest-cases.json,Seizing a Second Chance to Graduate From High School,Seizing_a_Second_Chance_to_Graduate_From_High_School,?
neediest-cases.json,Fighting to Keep a Home Remodeled to Meet a Disabled Daughter’s Needs,Fighting_to_Keep_a_Home_Remodeled_to_Meet_a_Disabled_Daughter_s_Needs,?
