Column,Title,HTML,Class
family-ties.json,Plating Memory,Plating_Memory,?
modern-love.json,NYT: Modern Love for 08/19/2006,NYT__Modern_Love_for_08_19_2006,?
personal-journeys.json,In Berlin, Unraveling a Family Mystery,In_Berlin__Unraveling_a_Family_Mystery,?
private-lives.json,A Councilman Who Has His Own Ideas About Garbage,A_Councilman_Who_Has_His_Own_Ideas_About_Garbage,?
lives.json,Truck-Stop Girls,Truck_Stop_Girls,?
neediest-cases.json,Delayed, but Good Deeds Get Done,Delayed__but_Good_Deeds_Get_Done,?
family-ties.json,How My Dad Became the Traveler I Once Was,How_My_Dad_Became_the_Traveler_I_Once_Was,?
modern-love.json,Firefighter Chases Woman Down Street,Firefighter_Chases_Woman_Down_Street,?
personal-journeys.json,I’ll Have the Red: Hot Sauce, Island by Island,I_ll_Have_the_Red__Hot_Sauce__Island_by_Island,?
private-lives.json,A New Gay Fairy Tale,A_New_Gay_Fairy_Tale,?
lives.json,Mother’s Little Helper,Mother_s_Little_Helper,?
neediest-cases.json,MetroCard Blazes Mother’s Path to a Job,MetroCard_Blazes_Mother_s_Path_to_a_Job,?
family-ties.json,Little Wished-for Deaths,Little_Wished_for_Deaths,?
modern-love.json,Platonic, Until Death Do Us Part,Platonic__Until_Death_Do_Us_Part,?
personal-journeys.json,Ignoring the Warnings for a Honeymoon in Mexico,Ignoring_the_Warnings_for_a_Honeymoon_in_Mexico,?
private-lives.json,Dressing Like My Mother,Dressing_Like_My_Mother,?
lives.json,A Brief Resurrection,A_Brief_Resurrection,?
neediest-cases.json,As She Fights Cancer, a Woman Strives for Normalcy,As_She_Fights_Cancer__a_Woman_Strives_for_Normalcy,?
family-ties.json,My Mother’s Opus, Built Over Four Decades,My_Mother_s_Opus__Built_Over_Four_Decades,?
modern-love.json,The Secret to Marriage Is Never Getting Married,The_Secret_to_Marriage_Is_Never_Getting_Married,?
personal-journeys.json,Amazing Grace: The Art and Ordeal of the Kimono,Amazing_Grace__The_Art_and_Ordeal_of_the_Kimono,?
private-lives.json,The Mysteries of My Father’s Mind,The_Mysteries_of_My_Father_s_Mind,?
lives.json,Hunting Your Own Dinner,Hunting_Your_Own_Dinner,?
neediest-cases.json,Making a Home Her Own, and a Refuge for Others,Making_a_Home_Her_Own__and_a_Refuge_for_Others,?
family-ties.json,The Particular Pain of Pandemic Grief,The_Particular_Pain_of_Pandemic_Grief,?
modern-love.json,In the Dressing Room, Relationships Laid Bare,In_the_Dressing_Room__Relationships_Laid_Bare,?
personal-journeys.json,Stargazing at a Resort, in Comfort,Stargazing_at_a_Resort__in_Comfort,?
private-lives.json,A Bottle of Water in Brazzaville,A_Bottle_of_Water_in_Brazzaville,?
lives.json,Death Match,Death_Match,?
neediest-cases.json,After Years of Hardship, Help With a New Life,After_Years_of_Hardship__Help_With_a_New_Life,?
family-ties.json,Practicing Gratitude, for a Change,Practicing_Gratitude__for_a_Change,?
modern-love.json,My Very Own Cyberstalker,My_Very_Own_Cyberstalker,?
personal-journeys.json,In France, Our Dog Has His Day,In_France__Our_Dog_Has_His_Day,?
private-lives.json,The Tennis Pro’s Daughter,The_Tennis_Pro_s_Daughter,?
lives.json,Choosing Her Battle,Choosing_Her_Battle,?
neediest-cases.json,Retiree Lost His Savings to Thieves’ Lie About a Prize,Retiree_Lost_His_Savings_to_Thieves__Lie_About_a_Prize,?
family-ties.json,Watching the Pandemic Steal Intimate Moments From Teenagers,Watching_the_Pandemic_Steal_Intimate_Moments_From_Teenagers,?
modern-love.json,He Asked Permission to Touch, but Not to Ghost ,He_Asked_Permission_to_Touch__but_Not_to_Ghost_,?
personal-journeys.json,Making Language Immersion Fun for the Kids,Making_Language_Immersion_Fun_for_the_Kids,?
private-lives.json,A Cupboard of My Own,A_Cupboard_of_My_Own,?
lives.json,Is My Son’s Purple Hair Asking for Trouble?,Is_My_Son_s_Purple_Hair_Asking_for_Trouble_,?
neediest-cases.json,First-Time Donors Offer The Reasons They Care,First_Time_Donors_Offer_The_Reasons_They_Care,?
family-ties.json,The Wager of Raising a Child Abroad,The_Wager_of_Raising_a_Child_Abroad,?
modern-love.json,The Junk Removers Manhandle My Heart,The_Junk_Removers_Manhandle_My_Heart,?
personal-journeys.json,In East Africa, Safaris That Leave a Lighter Footprint,In_East_Africa__Safaris_That_Leave_a_Lighter_Footprint,?
private-lives.json,My Perennial Dilemma,My_Perennial_Dilemma,?
lives.json,Coal Miner's Granddaughter,Coal_Miner_s_Granddaughter,?
neediest-cases.json,A Quest for a Better Life, Interrupted by Sudden Grief,A_Quest_for_a_Better_Life__Interrupted_by_Sudden_Grief,?
family-ties.json,Celluloid Antihero: How I Found My Father in the Movies,Celluloid_Antihero__How_I_Found_My_Father_in_the_Movies,?
modern-love.json,Eating the Forbidden Ham Sandwich,Eating_the_Forbidden_Ham_Sandwich,?
